71 15 14 51 50 51 44 21 3 90 41 43 11 77 22 11 69 33 7 81 74 8 29 84 26 98 0 2 90 0 34 14 67 0 65 17 51 61 38 54 51 31 49 14 9 23 25 78 57 32 59 31 92 40 68 19 90 20 73 81 72 59 47 39 59 64 57 10 25 47 16 28 79 66 42 40 89 19 18 98 3 30 82 47 22 2 18 13 22 92 46 95 51 93 86 11 57 43 21 82 43 90 62 22 56 56 62 97 75 32 96 30 14 30 77 37 32 96 50 6 88 96 53 39 89 40 2 46 35 76 80 78 66 42 52 22 98 66 71 25 99 19 7 13 49 84 50 81 80 0 40 20 48 93 12 37 33 14 35 21 90 67 99 56 61 52 30 11 18 54 36 69 73 95 35 75 80 37 56 12 90 48 33 38 42 97 76 27 11 63 48 54 31 0 62 44 52 45 56 22 99 44 44 24 40 79 99 20 68 8 84 58 56 69 97 50 66 25 78 30 88 26 36 71 26 98 16 30 95 24 5 94 68 1 71 60 32 70 32 0 78 17 59 87 86 8 37 5 33 15 35 73 94 71 45 72 
21 13 55 17 89 12 63 57 65 34 18 97 57 2 97 87 19 8 74 58 16 64 63 1 79 98 75 25 21 72 50 94 85 5 11 26 69 27 83 34 13 53 31 70 56 80 58 27 41 84 85 57 48 48 59 80 98 86 5 71 58 7 66 95 64 29 21 33 8 56 67 22 62 50 44 70 83 54 97 24 39 35 33 39 35 44 19 86 30 77 57 40 84 75 35 49 57 8 82 65 65 2 39 27 4 84 49 87 38 46 63 29 33 97 69 69 41 88 55 24 65 64 64 2 40 52 3 49 60 85 66 77 39 6 56 96 90 5 83 80 4 47 10 37 96 79 6 89 19 61 13 37 26 30 39 18 82 94 67 94 31 33 72 71 91 28 67 33 34 2 14 38 1 76 27 97 7 34 87 26 47 52 15 73 82 6 43 16 0 10 11 32 96 35 55 87 15 22 73 1 76 87 39 78 15 19 27 22 53 14 0 0 19 16 26 1 74 69 70 75 32 33 59 80 68 14 19 83 88 92 85 64 31 76 94 46 95 22 20 0 88 21 53 7 89 79 61 15 0 83 90 84 16 49 16 36 
15 88 71 3 80 8 68 64 85 14 10 32 88 83 85 77 56 38 36 97 69 49 12 21 84 3 58 0 4 74 88 20 14 60 75 95 68 43 59 5 10 21 90 98 56 75 27 12 65 16 9 34 65 22 7 2 77 65 54 81 92 43 53 6 55 29 53 23 24 64 81 86 38 23 85 94 98 64 7 15 80 16 49 98 90 8 0 67 74 54 1 18 97 6 24 4 87 30 80 12 94 61 98 32 84 35 79 34 0 86 49 80 54 50 30 45 58 30 64 84 85 65 2 34 24 79 91 11 61 71 23 55 32 74 40 68 61 71 54 13 57 55 46 63 5 76 60 15 7 77 52 44 42 6 30 18 85 21 30 98 92 5 54 76 31 46 96 93 17 50 6 26 57 4 41 14 81 54 30 88 31 34 84 73 40 66 44 78 88 74 76 32 79 82 61 11 28 57 56 97 60 14 75 17 19 69 32 0 23 14 40 54 48 76 79 88 42 23 66 82 97 95 15 77 77 76 40 58 85 48 7 45 62 83 15 33 52 99 33 75 13 25 29 61 53 8 1 96 32 20 30 81 15 45 10 44 
73 50 2 59 98 10 56 13 45 23 46 49 22 32 76 35 9 57 48 63 17 2 11 1 22 41 83 89 87 93 33 12 96 88 23 46 50 32 59 95 55 6 96 30 90 72 17 99 29 66 62 46 20 73 48 94 15 31 35 54 76 68 18 72 8 42 19 58 74 30 5 81 36 1 11 26 73 29 78 2 47 40 1 67 66 49 13 33 32 48 39 8 68 57 81 77 99 52 87 25 82 93 59 71 94 22 49 68 51 27 22 50 68 23 17 86 72 82 19 4 30 58 65 99 15 46 28 67 50 15 44 32 8 55 3 55 78 53 75 29 32 97 80 52 73 49 38 45 84 9 2 14 67 67 65 35 65 45 54 67 13 50 99 73 6 55 28 84 60 3 65 92 53 97 45 26 99 83 23 83 93 77 49 12 96 15 99 61 12 53 80 25 4 80 99 62 87 79 46 47 83 63 39 88 61 36 14 60 72 37 43 17 15 44 29 11 11 81 25 24 34 5 1 90 37 0 52 24 32 50 23 15 14 15 3 27 51 69 39 23 6 34 92 73 78 74 37 90 55 62 66 41 19 67 32 57 
20 36 33 52 39 57 67 5 72 22 84 75 43 23 51 1 57 43 75 35 17 12 77 24 26 43 66 97 11 50 54 31 38 40 83 77 97 2 34 21 76 18 96 19 41 47 20 50 91 47 86 60 11 15 85 37 59 3 35 70 53 41 1 43 33 84 73 30 38 7 51 14 78 0 33 71 47 53 22 90 53 60 3 64 75 40 54 34 43 41 56 48 34 57 43 68 93 16 98 31 76 2 97 54 54 30 77 1 36 51 44 89 11 47 5 39 39 59 25 34 0 82 82 35 91 77 3 85 94 53 68 70 55 66 76 9 48 53 63 84 5 59 25 68 58 31 59 97 90 85 31 43 67 65 78 58 42 33 95 88 86 16 10 94 82 86 55 82 92 70 67 49 29 44 69 87 27 29 36 70 14 19 13 81 36 43 91 79 76 87 19 14 55 30 8 37 16 16 19 60 86 38 9 68 35 79 55 62 8 44 32 74 63 45 55 0 40 98 31 16 37 50 83 92 80 43 81 49 59 53 61 46 91 23 66 78 2 21 41 62 17 73 36 81 71 43 33 11 93 64 80 31 66 63 75 99 
6 57 0 66 62 61 64 5 84 30 84 38 3 25 52 21 50 40 54 21 35 87 85 29 3 65 12 69 28 87 68 86 96 68 52 58 82 68 16 66 50 0 57 6 25 9 27 75 50 33 49 85 72 34 14 75 99 78 44 79 18 65 65 14 33 70 25 67 90 41 34 41 93 91 47 18 0 26 45 2 11 46 88 83 80 54 58 31 33 54 10 51 19 28 17 5 50 94 72 40 87 58 33 80 1 80 50 2 58 96 56 69 42 44 4 75 99 62 6 84 69 69 87 88 49 4 45 99 51 70 39 38 28 73 19 30 5 69 84 16 17 40 37 12 37 42 87 88 56 45 72 25 66 11 66 15 15 63 14 66 33 6 5 62 31 76 44 88 45 80 4 15 20 94 27 9 36 14 97 44 11 21 22 78 32 88 93 0 3 60 18 37 18 75 51 1 51 95 89 49 75 46 16 47 40 43 9 28 9 6 24 20 80 46 98 64 86 44 16 90 4 35 79 74 62 30 75 14 25 16 15 52 62 31 51 54 74 60 34 35 19 59 55 99 57 54 15 96 50 32 86 6 19 65 80 81 
47 7 47 24 23 14 76 38 45 27 44 71 40 31 6 59 90 14 10 99 20 77 95 70 61 33 76 80 50 56 14 97 15 13 21 38 28 49 28 25 29 73 49 69 56 7 80 46 21 90 97 41 67 93 11 29 78 87 61 29 95 75 78 10 41 0 1 69 1 81 94 30 6 43 51 62 51 31 8 24 73 58 66 41 3 29 22 81 69 35 10 64 63 41 27 4 93 80 73 94 61 19 77 68 63 28 30 66 12 91 90 85 49 8 78 52 38 52 33 7 88 96 23 51 89 2 55 82 82 80 76 44 99 5 12 62 34 94 80 46 85 71 83 86 79 62 38 69 14 24 76 54 72 52 5 61 54 12 43 89 92 71 33 44 77 97 58 63 43 39 61 29 62 44 15 93 58 6 63 25 82 91 79 6 43 37 67 50 49 62 39 94 85 72 38 14 21 96 77 64 87 90 45 49 87 13 43 45 19 6 22 53 97 2 59 93 39 78 43 88 92 82 34 77 6 72 44 79 21 73 95 8 64 41 58 51 54 53 48 25 59 71 30 8 25 89 53 64 19 96 4 11 30 39 40 88 
63 84 67 84 10 15 45 74 56 55 77 62 8 77 39 19 0 69 27 25 10 33 89 29 29 46 92 12 37 32 0 0 69 20 37 79 35 82 5 43 37 34 5 97 11 96 16 64 65 95 89 75 28 31 56 10 77 48 22 14 32 74 66 1 46 55 32 81 37 37 76 26 71 33 23 35 29 39 99 46 87 88 73 15 71 29 25 48 29 47 14 62 74 33 15 20 88 48 54 78 85 30 4 9 64 80 44 45 71 95 92 58 35 65 26 7 47 51 7 76 51 74 90 25 7 6 97 47 54 51 25 91 82 82 52 98 62 48 43 85 43 87 44 79 5 70 38 52 73 45 80 76 71 23 53 78 81 51 78 35 2 3 78 36 85 31 86 99 79 82 85 75 69 81 54 26 3 44 78 28 89 11 5 61 86 10 91 67 61 69 54 16 25 32 4 62 15 91 62 47 73 99 22 94 32 28 21 35 72 51 15 13 14 20 26 0 31 70 19 44 39 73 12 16 58 17 79 73 60 93 72 85 92 94 79 24 74 52 11 46 56 26 12 22 99 38 75 82 8 94 26 0 68 91 16 26 
8 47 51 68 40 24 5 84 70 36 60 45 89 71 43 97 50 55 19 1 46 94 83 6 41 61 58 9 52 75 87 12 22 38 32 15 14 37 99 85 74 60 82 15 83 25 12 85 33 83 86 31 30 69 89 71 83 48 32 87 75 19 0 49 9 84 64 24 22 16 61 48 76 43 63 11 20 27 97 5 62 83 88 92 5 78 15 40 26 47 27 1 66 79 2 28 64 67 52 86 83 65 86 11 60 49 22 32 28 19 38 90 55 78 35 12 56 50 52 34 98 31 87 16 11 90 44 75 9 48 13 44 13 99 55 73 0 77 6 80 49 96 22 56 26 57 20 35 60 24 69 10 55 9 26 66 51 23 93 12 23 58 56 89 57 11 62 9 40 20 41 41 68 64 97 95 21 17 82 33 41 51 43 49 12 22 67 15 45 61 27 20 19 83 9 29 94 24 90 87 96 32 28 65 96 26 12 69 95 94 3 89 97 46 38 62 20 5 77 17 18 57 38 38 40 47 19 87 71 9 74 20 41 2 85 89 80 49 59 28 95 14 17 44 12 7 6 33 64 36 50 83 93 88 73 33 
88 44 72 11 53 46 31 47 1 16 36 81 17 47 9 64 13 78 9 26 37 15 59 2 51 61 37 44 50 62 30 90 6 2 1 11 1 33 58 2 1 47 35 19 46 97 83 60 27 44 38 65 60 97 67 63 10 4 60 60 66 90 50 24 44 4 35 45 37 94 99 38 93 87 9 39 84 45 99 11 89 89 76 1 86 95 65 97 51 77 9 69 19 12 93 63 16 29 61 5 23 12 43 68 99 5 7 35 2 59 99 91 48 27 93 87 23 10 36 26 87 97 96 6 9 89 21 77 18 34 34 93 47 30 61 98 35 69 34 37 80 33 80 28 12 25 67 87 35 3 14 74 1 10 32 62 99 6 92 70 40 26 63 87 56 25 86 43 46 72 80 26 57 13 6 69 38 74 57 26 77 71 52 30 33 85 45 32 43 37 54 83 63 18 71 72 95 9 15 41 81 48 19 90 13 77 59 51 51 68 29 81 91 82 63 24 19 8 9 62 45 63 45 61 33 68 85 28 29 52 21 62 52 92 52 65 70 64 69 73 32 98 6 76 80 22 52 51 30 13 13 28 29 11 41 62 
