91 85 50 40 54 52 1 8 3 73 81 77 90 5 94 94 16 50 53 36 57 35 92 89 67 98 19 53 59 5 19 88 36 64 13 61 54 25 36 64 82 56 11 80 84 46 24 7 36 5 53 7 11 66 12 47 16 45 48 57 16 92 90 53 
64 29 52 71 22 4 71 48 88 39 52 84 13 19 75 62 69 97 69 78 69 59 13 30 52 59 42 56 25 28 38 51 37 32 74 77 4 31 6 28 48 2 74 77 12 72 45 13 81 41 58 70 74 85 41 7 33 44 73 17 24 87 1 75 
97 42 14 6 50 43 50 17 58 17 43 59 69 70 93 95 68 18 70 60 87 99 10 27 54 10 39 80 20 45 21 53 25 9 0 77 14 63 28 66 4 11 90 5 61 44 27 77 76 21 82 47 20 30 89 35 9 76 40 45 11 94 71 8 
31 56 60 22 78 26 94 30 49 34 34 66 52 89 42 47 68 19 61 33 43 89 58 39 64 7 30 97 93 77 87 35 34 66 39 7 98 39 98 15 0 15 34 37 32 70 93 99 3 55 5 58 37 99 33 11 35 38 41 27 83 4 60 15 
97 87 41 27 54 8 77 61 87 94 66 64 56 64 4 85 69 2 47 79 12 61 18 23 25 58 45 63 38 70 69 99 65 81 70 38 7 2 80 25 67 12 74 76 55 62 38 11 52 38 22 32 40 86 78 83 38 75 73 73 94 45 66 14 
89 41 83 84 53 24 98 96 42 89 19 13 69 11 50 78 5 60 43 23 46 0 15 81 39 46 2 87 81 55 27 66 59 40 47 77 14 90 20 91 97 14 81 67 61 59 75 99 63 64 24 99 20 96 40 7 9 20 68 30 67 81 60 23 
9 90 7 96 4 24 4 39 1 4 1 43 89 61 21 44 87 43 97 63 17 67 48 80 20 60 36 39 29 69 41 20 25 62 29 38 47 84 67 19 86 88 33 6 70 46 68 61 82 21 2 52 2 5 72 10 13 0 46 63 3 64 34 63 
52 35 60 23 80 29 53 18 6 68 83 94 35 94 23 35 52 55 9 40 74 55 12 11 51 91 29 92 5 89 96 52 68 36 95 47 83 13 27 71 14 48 9 20 91 50 43 20 61 12 33 1 44 93 1 65 12 26 54 79 95 51 72 32 
25 68 88 32 40 68 34 93 3 9 50 18 13 16 47 18 44 17 50 67 77 78 38 38 37 56 61 25 23 40 59 61 61 56 57 12 48 59 75 2 61 26 38 17 39 88 70 90 31 90 81 24 25 32 24 7 44 71 97 81 52 23 19 38 
98 59 31 95 20 94 1 96 21 19 85 93 97 79 6 18 94 0 29 51 65 9 83 62 54 17 50 21 12 32 23 85 62 76 49 31 30 9 89 0 84 88 43 60 90 84 29 26 58 48 8 4 48 37 78 52 62 45 44 9 68 94 90 90 
39 20 94 52 29 80 10 89 9 64 21 36 50 41 10 44 26 39 61 16 96 78 94 87 78 94 58 4 58 71 42 60 0 2 70 86 87 35 38 59 65 44 32 65 3 80 29 40 97 35 72 42 77 69 25 8 96 39 99 7 49 27 78 87 
35 91 0 49 49 65 10 63 74 73 88 3 92 46 56 2 92 95 98 10 51 20 13 42 52 40 35 46 67 63 56 69 7 99 37 27 59 13 9 76 85 63 77 88 71 3 83 33 52 23 88 11 98 84 73 32 16 18 39 5 26 68 56 8 
17 62 48 58 22 75 32 79 9 75 60 6 9 39 61 60 0 81 5 24 88 45 19 91 47 90 29 46 4 16 52 42 18 25 80 5 7 23 28 14 67 91 41 59 50 19 26 19 36 19 89 38 34 51 92 87 8 80 33 65 19 52 83 46 
30 93 8 27 4 24 34 53 29 51 56 69 4 4 38 90 77 39 63 20 30 52 86 40 88 67 56 2 13 3 73 15 36 47 78 83 81 83 66 47 17 49 82 37 72 14 84 67 81 56 82 7 7 12 81 0 24 44 37 12 81 82 75 92 
42 42 71 58 47 91 64 95 50 93 70 23 20 56 95 7 13 37 9 50 65 57 58 41 83 77 19 32 94 65 50 94 10 21 26 18 47 79 93 80 15 16 31 75 39 17 4 69 4 49 71 17 65 18 45 38 86 52 65 18 99 63 9 56 
13 96 52 37 31 58 68 20 26 85 29 54 55 3 71 17 51 32 9 75 66 82 76 54 39 50 52 18 80 31 73 37 58 83 78 85 85 87 39 77 59 66 61 80 52 56 21 73 42 13 60 36 50 23 3 35 19 99 90 75 7 7 14 31 
69 3 0 16 64 94 60 72 54 6 55 79 74 46 9 19 33 10 70 8 42 1 15 52 51 85 71 38 67 67 52 28 7 40 65 83 28 1 33 78 77 13 63 71 61 6 24 25 18 53 95 39 80 48 64 69 60 17 26 5 42 40 66 63 
51 2 52 9 35 85 19 13 35 2 6 49 16 38 79 54 73 74 46 24 21 3 85 5 5 29 91 91 8 7 28 27 67 85 73 99 26 23 67 23 43 67 80 16 86 33 44 30 46 72 85 89 9 14 64 1 20 63 34 83 72 33 4 54 
1 80 76 27 54 9 99 97 37 95 2 71 8 24 82 45 24 45 83 49 36 48 35 36 66 38 77 25 41 31 75 16 93 86 14 52 73 60 57 94 30 13 12 72 69 57 33 31 14 3 44 4 81 48 89 96 2 1 91 65 20 23 62 63 
65 52 2 97 31 57 13 68 69 41 89 84 99 20 35 53 68 32 71 85 97 62 58 41 84 13 25 23 63 61 41 3 30 48 36 54 71 62 20 60 77 6 28 14 31 99 15 10 34 1 14 59 63 55 10 53 91 59 66 48 59 14 38 36 
93 74 19 23 28 13 2 52 60 30 87 56 91 10 39 87 41 33 39 2 21 38 43 36 32 20 70 78 23 89 26 97 7 23 73 73 70 96 35 70 1 46 28 77 29 25 80 27 97 59 88 3 28 76 75 51 77 95 33 85 41 19 77 36 
39 21 60 88 42 40 68 38 35 36 31 45 75 35 62 56 63 78 31 6 81 37 91 96 50 73 63 48 24 54 49 51 47 70 84 61 68 15 27 17 53 39 15 44 55 81 7 44 96 19 41 13 14 46 4 55 97 31 86 41 18 26 86 81 
97 48 14 18 25 77 44 54 60 10 3 66 29 31 61 93 15 87 59 95 15 63 49 1 40 77 67 12 53 61 73 65 63 74 2 25 76 56 23 80 64 36 38 14 71 25 79 17 32 88 76 88 32 95 66 75 57 81 24 43 55 62 33 88 
72 38 69 55 65 72 14 87 29 30 53 44 72 30 50 16 9 40 13 85 70 23 60 97 21 80 72 76 37 29 78 33 43 36 34 24 28 78 11 81 69 34 68 34 58 91 27 22 68 76 42 30 15 28 46 11 57 80 21 59 89 90 68 7 
